user_id;username;email;first_name;last_name;position;department;division;site_id;cost_center;ou_code
1223;LESTARIL;samistheguns@gmail.com;LESTARI;LESTARI;SERVICES DESK SPECIALIST;IT Services;;25;110;HO
1224;PUJIA;samistheguns@gmail.com;PUJI;ASTUTI;SUPERVISOR TMC;;Sales;1;410;BL2
1225;ANANDAA;samistheguns@gmail.com;ANANDA;ARIF;SALESMAN TMC;;Sales;1;230;BL1
1226;BAYUP02;samistheguns@gmail.com;BAYU;PUTRA;SUPERVISOR TMC;;Sales;1;230;BL2
1227;DINDAP01;samistheguns@gmail.com;DINDA;PERMATASARI;SUPERVISOR TMC;;Sales;1;230;BL3
1228;IKHWANF;samistheguns@gmail.com;IKHWAN;FITRA;SUPERVISOR TMC;;Sales;1;230;BL3
1229;EKKOF;samistheguns@gmail.com;EKKO;FITRAN;ASSISTEN SALESMAN-TMC;;Sales;1;230;BL2
1230;FAHMIK;samistheguns@gmail.com;FAHMI;KURNIAWAN;SALESMAN TMC;;Sales;1;230;BL1
1231;RAHMAA;samistheguns@gmail.com;RAHMA;WIJAYA;ASSISTEN SALESMAN-TMC;;Sales;1;230;BL2
1232;BIMAP;samistheguns@gmail.com;BIMA;PUTRA;SERVICES DESK SPECIALIST;IT Services;;25;110;HO
1233;SAM;samistheguns@gmail.com;SAMUEL;GUNAWAN;ADMIN STAFF GENERAL AFFAIRS;;General Affairs;1;350;BL1
1234;PRISKA;samistheguns@gmail.com;PRISKA;AIMEE;L1 SUPPORT;IT Services;;25;110;HO
1235;DION;samistheguns@gmail.com;DION;WIYOYO;AREA MANAGER;;Management;1;230;BL1
1236;SHEILA;samistheguns@gmail.com;SHEILA;PARA;FINANCE & ACCOUNTING MANAGER;Finance & Accounting;;25;240;HO
1237;RIO;samistheguns@gmail.com;RIO;DEWANTE;IT SERVICES MANAGER;IT Services;;25;110;HO
1238;VINCENT;samistheguns@gmail.com;VINCENT;ROMPI;FINANCE OFFICER;Finance & Accounting;;25;240;HO
1239;ANDRE;samistheguns@gmail.com;ANDRE;TAHULANY;ACCOUNTING OFFICER;Finance & Accounting;;25;240;HO
